trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.5, 'e': 0.2169999999999993}",20,13,2.610949322380671,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.2139999999999993}",20,8,5.94193641412459,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2109999999999993}",25,12,19.522195201859518,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.2079999999999993}",20,0,4.083923587581345,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,10,18.87958662690162,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.2019999999999993}",25,2,27.617794690491763,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.1989999999999993}",30,20,18.262723925695017,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.19599999999999929}",20,10,18.38350668906496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.19299999999999928}",25,8,19.528412721827056,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,13,-29.087905952756046,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
271,False,"{'a': 0.5, 'e': 0.18699999999999928}",20,5,13.535937740011981,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.18399999999999928}",25,19,10.396798009011803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.18099999999999927}",25,8,6.623932107254139,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.17799999999999927}",25,16,1.6576602082689316,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,9,25.809712243844977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.17199999999999926}",25,17,-26.939857529526556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.16899999999999926}",30,22,5.196339722251422,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.16599999999999926}",20,12,13.544896312586447,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.16299999999999926}",20,14,11.061422193432438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,17,12.926949867773104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.15699999999999925}",25,6,35.03468085034867,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
